country,code,years
Aruba,ABW,77.946
Andorra,AND,
Afghanistan,AFG,61.615
Angola,AGO,53.805
Albania,ALB,80.415
Arab World,ARB,72.50197219
United Arab Emirates,ARE,78.495
Argentina,ARG,80.06
Armenia,ARM,78.594
American Samoa,ASM,
Antigua and Barbuda,ATG,78.452
Australia,AUS,84.3
Austria,AUT,84
Azerbaijan,AZE,73.988
Burundi,BDI,58.728
Belgium,BEL,83.2
Benin,BEN,60.977
Burkina Faso,BFA,59.934
Bangladesh,BGD,72.911
Bulgaria,BGR,79.3
Bahrain,BHR,77.638
"Bahamas, The",BHS,78.335
Bosnia and Herzegovina,BIH,79.027
Belarus,BLR,78.2
Belize,BLZ,72.936
Bermuda,BMU,84.69
Bolivia,BOL,70.864
Brazil,BRA,78.25
Barbados,BRB,77.957
Brunei Darussalam,BRN,80.717
Bhutan,BTN,69.734
Botswana,BWA,66.834
Central African Republic,CAF,52.557
Canada,CAN,83.989
Central Europe and the Baltics,CEB,80.32656666
Switzerland,CHE,85
Channel Islands,CHI,82.581
Chile,CHL,84.491
China,CHN,77.346
Cote d'Ivoire,CIV,52.417
Cameroon,CMR,56.679
"Congo, Rep.",COG,63.859
Colombia,COL,77.662
Comoros,COM,64.964
Cabo Verde,CPV,75.016
Costa Rica,CRI,81.914
Caribbean small states,CSS,75.6516827
Cuba,CUB,81.498
Curacao,CUW,81
Cayman Islands,CYM,
Cyprus,CYP,82.397
Czech Republic,CZE,81.4
Germany,DEU,83.2
Djibouti,DJI,63.674
Dominica,DMA,
Denmark,DNK,82.7
Dominican Republic,DOM,76.712
Algeria,DZA,77.219
East Asia & Pacific (excluding high income),EAP,75.96406375
Early-demographic dividend,EAR,70.95630325
East Asia & Pacific,EAS,76.99579252
Europe & Central Asia (excluding high income),ECA,76.38435576
Europe & Central Asia,ECS,80.37486601
Ecuador,ECU,78.687
"Egypt, Arab Rep.",EGY,73.36
Euro area,EMU,84.4062575
Eritrea,ERI,65.867
Spain,ESP,86.1
Estonia,EST,81.9
Ethiopia,ETH,66.008
European Union,EUU,83.4515847
Fragile and conflict affected situations,FCS,63.42221385
Finland,FIN,84.1
Fiji,FJI,73.171
France,FRA,85.6
Faroe Islands,FRO,84.1
"Micronesia, Fed. Sts.",FSM,70.106
Gabon,GAB,65.039
United Kingdom,GBR,82.9
Georgia,GEO,78.359
Ghana,GHA,62.314
Gibraltar,GIB,
Guinea,GIN,59.219
"Gambia, The",GMB,61.617
Guinea-Bissau,GNB,56.985
Equatorial Guinea,GNQ,59.031
Greece,GRC,84
Grenada,GRD,75.852
Greenland,GRL,
Guatemala,GTM,75.338
Guam,GUM,81.813
Guyana,GUY,68.762
High income,HIC,83.29027109
"Hong Kong SAR, China",HKG,86.9
Honduras,HND,75.71
Heavily indebted poor countries (HIPC),HPC,62.31474523
Croatia,HRV,80.3
Haiti,HTI,64.934
Hungary,HUN,79.1
IBRD only,IBD,74.27317956
IDA & IBRD total,IBT,71.8071313
IDA total,IDA,64.97172143
IDA blend,IDB,65.14760088
Indonesia,IDN,71.01
IDA only,IDX,64.87482351
Isle of Man,IMN,
India,IND,69.492
Not classified,INX,
Ireland,IRL,83.1
"Iran, Islamic Rep.",IRN,76.531
Iraq,IRQ,71.681
Iceland,ISL,83.7
Israel,ISR,84.1
Italy,ITA,85.2
Jamaica,JAM,78.11
Jordan,JOR,75.768
Japan,JPN,86.83
Kazakhstan,KAZ,75.94
Kenya,KEN,63.388
Kyrgyz Republic,KGZ,74.5
Cambodia,KHM,70.3
Kiribati,KIR,69.241
St. Kitts and Nevis,KNA,
"Korea, Rep.",KOR,85.48
Kosovo,KSV,73.3
Kuwait,KWT,75.76
Latin America & Caribbean (excluding high income),LAC,78.04094443
Lao PDR,LAO,67.53
Lebanon,LBN,81.259
Liberia,LBR,61.846
Libya,LBY,74.63
St. Lucia,LCA,77.825
Latin America & Caribbean,LCN,78.26303207
Least developed countries: UN classification,LDC,64.69868997
Low income,LIC,62.88212368
Liechtenstein,LIE,83.9
Sri Lanka,LKA,78.247
Lower middle income,LMC,69.08849299
Low & middle income,LMY,71.72332064
Lesotho,LSO,49.823
Late-demographic dividend,LTE,77.58852882
Lithuania,LTU,79.6
Luxembourg,LUX,84
Latvia,LVA,78.9
"Macao SAR, China",MAC,82.775
St. Martin (French part),MAF,82.6
Morocco,MAR,75.062
Monaco,MCO,
Moldova,MDA,75.682
Madagascar,MDG,66.635
Maldives,MDV,77.788
Middle East & North Africa,MEA,74.75781433
Mexico,MEX,79.206
Marshall Islands,MHL,
Middle income,MIC,72.74943342
"Macedonia, FYR",MKD,77.699
Mali,MLI,57.786
Malta,MLT,84
Myanmar,MMR,67.964
Middle East & North Africa (excluding high income),MNA,74.33348682
Montenegro,MNE,78.398
Mongolia,MNG,73.857
Northern Mariana Islands,MNP,
Mozambique,MOZ,56.54
Mauritania,MRT,64.546
Mauritius,MUS,77.58
Malawi,MWI,63.745
Malaysia,MYS,77.121
North America,NAC,81.65940775
Namibia,NAM,67.339
New Caledonia,NCL,80.8
Niger,NER,62.383
Nigeria,NGA,53.1
Nicaragua,NIC,77.912
Netherlands,NLD,83.2
Norway,NOR,83.8
Nepal,NPL,71.067
Nauru,NRU,
New Zealand,NZL,83.3
OECD members,OED,82.82685758
Oman,OMN,79.202
Other small states,OSS,67.57750632
Pakistan,PAK,67.155
Panama,PAN,80.718
Peru,PER,77.233
Philippines,PHL,71.788
Palau,PLW,
Papua New Guinea,PNG,64.794
Poland,POL,81.3
Pre-demographic dividend,PRE,59.59374293
Puerto Rico,PRI,83.397
"Korea, Dem. People’s Rep.",PRK,73.658
Portugal,PRT,84
Paraguay,PRY,75.118
Pacific island small states,PSS,72.39130859
Post-demographic dividend,PST,83.22343764
French Polynesia,PYF,78.865
Qatar,QAT,79.907
Romania,ROU,78.7
Russian Federation,RUS,76
Rwanda,RWA,67.025
South Asia,SAS,69.5603513
Saudi Arabia,SAU,75.714
Sudan,SDN,65.011
Senegal,SEN,68.322
Singapore,SGP,84.9
Solomon Islands,SLB,69.409
Sierra Leone,SLE,51.434
El Salvador,SLV,77.435
San Marino,SMR,
Somalia,SOM,57.022
Serbia,SRB,78.3
Sub-Saharan Africa (excluding high income),SSA,59.90461636
South Sudan,SSD,56.681
Sub-Saharan Africa,SSF,59.90631507
Small states,SST,69.42696465
Sao Tome and Principe,STP,68.438
Suriname,SUR,74.43
Slovak Republic,SVK,80.3
Slovenia,SVN,83.9
Sweden,SWE,83.8
Swaziland,SWZ,48.211
Sint Maarten (Dutch part),SXM,
Seychelles,SYC,78.3
Syrian Arab Republic,SYR,76.475
Turks and Caicos Islands,TCA,
Chad,TCD,52.656
East Asia & Pacific (IDA & IBRD countries),TEA,75.9942617
Europe & Central Asia (IDA & IBRD countries),TEC,76.83229977
Togo,TGO,60.399
Thailand,THA,77.865
Tajikistan,TJK,73.169
Turkmenistan,TKM,69.902
Latin America & the Caribbean (IDA & IBRD countries),TLA,78.17169321
Middle East & North Africa (IDA & IBRD countries),TMN,74.32613849
Timor-Leste,TLS,70.059
Tonga,TON,75.808
South Asia (IDA & IBRD),TSA,69.5603513
Sub-Saharan Africa (IDA & IBRD countries),TSS,59.90631507
Trinidad and Tobago,TTO,74.029
Tunisia,TUN,76.5
Turkey,TUR,78.502
Tuvalu,TUV,
Tanzania,TZA,66.418
Uganda,UGA,60.276
Ukraine,UKR,76.37
Upper middle income,UMC,76.80986124
Uruguay,URY,80.634
United States,USA,81.4
Uzbekistan,UZB,71.803
St. Vincent and the Grenadines,VCT,75.106
"Venezuela, RB",VEN,78.47
British Virgin Islands,VGB,
Virgin Islands (U.S.),VIR,83
Vietnam,VNM,80.475
Vanuatu,VUT,74.005
West Bank and Gaza,PSE,74.94
World,WLD,73.60109644
Samoa,WSM,76.774
"Yemen, Rep.",YEM,65.217
South Africa,ZAF,59.298
"Congo, Dem. Rep.",COD,60.142
Zambia,ZMB,61.956
Zimbabwe,ZWE,58.892
